method,  size, traial,Tmem(ms),Tmath(ms),lastEps,lastNiter,nCycle,devivce, globmem(GB)
BLAS, 2,    0,    0.000,   0.001,  0.000,  2, 10000, Tesla C1060, 4.0
CPU, 2,    0,    0.000,   0.000,  0.000,  2, 10000, Tesla C1060, 4.0
CPU+CUBLAS, 2,    0,    0.011,   0.154,  0.000,  2, 10000, Tesla C1060, 4.0
CUBLAS, 2,    0,    0.010,   0.464,  0.000,  2, 10000, Tesla C1060, 4.0
BLAS, 4,    0,    0.000,   0.002,  0.000,  4, 10000, Tesla C1060, 4.0
CPU, 4,    0,    0.000,   0.001,  0.000,  4, 10000, Tesla C1060, 4.0
CPU+CUBLAS, 4,    0,    0.011,   0.270,  0.000,  4, 10000, Tesla C1060, 4.0
BLAS, 8,    0,    0.000,   0.004,  0.477,  8, 10000, Tesla C1060, 4.0
CPU, 8,    0,    0.000,   0.002,  0.477,  8, 10000, Tesla C1060, 4.0
CPU+CUBLAS, 8,    0,    0.011,   0.508,  0.396,  8, 10000, Tesla C1060, 4.0
CUBLAS, 8,    0,    0.011,   1.652,  0.154,  8, 10000, Tesla C1060, 4.0
BLAS, 16,    0,    0.000,   0.017,  0.059,  16, 10000, Tesla C1060, 4.0
CPU, 16,    0,    0.000,   0.012,  0.059,  16, 10000, Tesla C1060, 4.0
CPU+CUBLAS, 16,    0,    0.011,   0.972,  0.046,  16, 10000, Tesla C1060, 4.0
CUBLAS, 16,    0,    0.011,   3.291,  0.043,  16, 10000, Tesla C1060, 4.0
BLAS, 32,    0,    0.000,   0.093,  0.556,  32, 4097, Tesla C1060, 4.0
CPU, 32,    0,    0.000,   0.084,  0.556,  32, 4097, Tesla C1060, 4.0
CPU+CUBLAS, 32,    0,    0.011,   2.062,  0.525,  32, 4097, Tesla C1060, 4.0
CUBLAS, 32,    0,    0.012,   6.815,  0.478,  32, 4097, Tesla C1060, 4.0
BLAS, 64,    0,    0.000,   0.641,  0.064,  64, 1025, Tesla C1060, 4.0
CPU, 64,    0,    0.000,   0.619,  0.064,  64, 1025, Tesla C1060, 4.0
CPU+CUBLAS, 64,    0,    0.014,   4.679,  0.066,  64, 1025, Tesla C1060, 4.0
CUBLAS, 64,    0,    0.014,   15.330,  0.072,  64, 1025, Tesla C1060, 4.0
BLAS, 128,    0,    0.000,   4.997,  0.167,  128, 257, Tesla C1060, 4.0
CPU, 128,    0,    0.000,   5.055,  0.167,  128, 257, Tesla C1060, 4.0
CPU+CUBLAS, 128,    0,    0.022,   12.332,  0.171,  128, 257, Tesla C1060, 4.0
CUBLAS, 128,    0,    0.022,   38.612,  0.160,  128, 257, Tesla C1060, 4.0
BLAS, 256,    0,    0.000,   37.831,  0.066,  256, 65, Tesla C1060, 4.0
CPU, 256,    0,    0.000,   38.387,  0.066,  256, 65, Tesla C1060, 4.0
CPU+CUBLAS, 256,    0,    0.054,   35.049,  0.060,  256, 65, Tesla C1060, 4.0
CUBLAS, 256,    0,    0.055,   108.220,  0.062,  256, 65, Tesla C1060, 4.0
BLAS, 512,    0,    0.000,   295.414,  0.061,  512, 17, Tesla C1060, 4.0
CPU, 512,    0,    0.000,   299.577,  0.061,  512, 17, Tesla C1060, 4.0
CPU+CUBLAS, 512,    0,    0.184,   112.518,  0.058,  512, 17, Tesla C1060, 4.0
CUBLAS, 512,    0,    0.184,   327.994,  0.062,  512, 17, Tesla C1060, 4.0
BLAS, 1024,    0,    0.000,   2455.443,  0.057,  1024, 5, Tesla C1060, 4.0
CPU, 1024,    0,    0.000,   4695.833,  0.057,  1024, 5, Tesla C1060, 4.0
CPU+CUBLAS, 1024,    0,    0.705,   719.424,  0.059,  1024, 5, Tesla C1060, 4.0
CUBLAS, 1024,    0,    0.705,   1102.836,  0.055,  1024, 5, Tesla C1060, 4.0
BLAS, 2048,    0,    0.000,   19472.480,  0.232,  2048, 2, Tesla C1060, 4.0
CPU, 2048,    0,    0.001,   19932.664,  0.232,  2048, 2, Tesla C1060, 4.0
CPU+CUBLAS, 2048,    0,    2.770,   4044.096,  0.232,  2048, 2, Tesla C1060, 4.0
CUBLAS, 2048,    0,    2.771,   3961.233,  0.231,  2048, 2, Tesla C1060, 4.0
BLAS, 4096,    0,    0.000,   154895.250,  0.695,  4096, 1, Tesla C1060, 4.0
CPU, 4096,    0,    0.000,   157748.797,  0.695,  4096, 1, Tesla C1060, 4.0
CPU+CUBLAS, 4096,    0,    11.030,   26451.025,  0.707,  4096, 1, Tesla C1060, 4.0
CUBLAS, 4096,    0,    11.028,   15318.529,  0.691,  4096, 1, Tesla C1060, 4.0
BLAS, 8192,    0,    0.000,   1237528.000,  2.684,  8192, 1, Tesla C1060, 4.0
CPU, 8192,    0,    0.000,   1273599.250,  2.684,  8192, 1, Tesla C1060, 4.0
CPU+CUBLAS, 8192,    0,    44.044,   192009.906,  2.744,  8192, 1, Tesla C1060, 4.0
CUBLAS, 8192,    0,    44.039,   65028.969,  2.756,  8192, 1, Tesla C1060, 4.0
BLAS, 16384,    0,    0.001,   16440963.000,  9.896,  16384, 1, Tesla C1060, 4.0
CPU+CUBLAS, 16384,    0,    176.067,   1557992.250,  9.719,  16384, 1, Tesla C1060, 4.0
CUBLAS, 16384,    0,    176.088,   533717.062,  9.768,  16384, 1, Tesla C1060, 4.0
CPU+lapack, 2, 0,  0.0,    0.074,  0.000, 0,  10000, kraken1, NA
CPU+lapack, 4, 0,  0.0,    0.088,  0.000, 0,  10000, kraken1, NA
CPU+lapack, 8, 0,  0.0,    0.114,  0.000, 0,  10000, kraken1, NA
CPU+lapack, 16, 0,  0.0,    0.218,  0.001, 0,  10000, kraken1, NA
CPU+lapack, 32, 0,  0.0,    0.588,  0.014, 0,  4097, kraken1, NA
CPU+lapack, 64, 0,  0.0,    2.124,  0.003, 0,  1025, kraken1, NA
CPU+lapack, 128, 0,  0.0,    7.780,  0.018, 0,  257, kraken1, NA
CPU+lapack, 256, 0,  0.0,    48.312,  0.032, 0,  65, kraken1, NA
CPU+lapack, 512, 0,  0.0,    285.038,  0.053, 0,  17, kraken1, NA
CPU+lapack, 1024, 0,  0.0,    1903.203,  6.066, 0,  5, kraken1, NA
CPU+lapack, 2048, 0,  0.0,    14089.622,  16.144, 0,  2, kraken1, NA
CPU+lapack, 4096, 0,  0.0,    101934.040,  99.585, 0,  1, kraken1, NA
CPU+lapack, 8192, 0,  0.0,    768216.166,  48.873, 0,  1, kraken1, NA
CPU+lapack, 16384, 0, 0.0,   6085425.009,  50.287, 0,  1, kraken1, NA
